familia_professional,area_professional,nom_de_laccio,nif_entitat_formacio,entitat,codi_municipi,nom_municipi,codi_comarca,nom_comarca,modalitat,tipus_de_formacio,hores,web,correu_electronic,telefon,categoria_duracion,tipo_nombre,longitud_nombre,es_certificado,nivell,id_curso,nivel_consolidado,tipus_nivell,categoritzacio_curs
Serveis socioculturals i a la comunitat,Formació i educació,Ssce0110_mf1444_impartició i tutorització d'accions formatives per a l'ocupació,B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Teleformació,Certificats de Professionalitat,100,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957,Extensa,certificado,79,False,,Ssce0110_mf1444_impartició i tutorització d'accions formatives per a l'ocupació_FEMXA FORMACIÓN_Teleformació_100,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Serveis socioculturals i a la comunitat', 'modalitat': 'Teleformació', 'hores': 'Extensa'}"
Administració i gestió,Administració i auditoria,Adgd0308_mf0976_operacions administratives comercials,B61420824,FOMENT FORMACIÓ,8019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,160,https://www.fomentformacio.com,formacio@foment.com,934841232,Extensa,certificado,53,False,Bàsic,Adgd0308_mf0976_operacions administratives comercials_FOMENT FORMACIÓ_Presencial_160,Bàsic,General,"{'nivell': 'Bàsic', 'tipus': 'General', 'familia': 'Administració i gestió', 'modalitat': 'Presencial', 'hores': 'Extensa'}"
Hostaleria i turisme,Restauració,Hotr0109_mp0167_mòdul de pràctiques professionals no laborals d' 'operacions bàsiques de pastisseria',G58011495,ESHOB,8019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,80,https://www.eshobfors.com,cursos@eshobfors.com,689291212,Larga,certificado,101,False,Pràctiques,Hotr0109_mp0167_mòdul de pràctiques professionals no laborals d' 'operacions bàsiques de pastisseria'_ESHOB_Presencial_80,Pràctiques,Pràctiques,"{'nivell': 'Pràctiques', 'tipus': 'Pràctiques', 'familia': 'Hostaleria i turisme', 'modalitat': 'Presencial', 'hores': 'Larga'}"
Comerç i màrqueting,Compravenda,Comt0211_mf1329_atenció bàsica als clients,B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Teleformació,Certificats de Professionalitat,50,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957,Larga,certificado,42,False,Bàsic,Comt0211_mf1329_atenció bàsica als clients_FEMXA FORMACIÓN_Teleformació_50,Bàsic,General,"{'nivell': 'Bàsic', 'tipus': 'General', 'familia': 'Comerç i màrqueting', 'modalitat': 'Teleformació', 'hores': 'Larga'}"
Fabricació mecànica,Construccions metàl·liques,Fmec0110_uf1622_processos de tall i preparació de vores,F08766131,CENTRE D'ESTUDIS JAUME BALMES,8101,L'HOSPITALET DE LLOBREGAT,13,BARCELONÈS,Presencial,Certificats de Professionalitat,70,https://www.balmesinnova.com,gonzalo.rodriguez@balmesinnova.com,609140649,Larga,certificado,55,False,,Fmec0110_uf1622_processos de tall i preparació de vores_CENTRE D'ESTUDIS JAUME BALMES_Presencial_70,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Fabricació mecànica', 'modalitat': 'Presencial', 'hores': 'Larga'}"
Sanitat,Atenció sanitària,Sant0208_mf0069_operacions de manteniment preventiu del vehicle i control de la seva dotació material,B43431402,MONTESO CENTRE DE FORMACIÓ & AUTOESCOLES,43155,TORTOSA,9,BAIX EBRE,Teleformació,Certificats de Professionalitat,100,https://www.autoescolesmonteso.com,INFO@AUTOESCOLESMONTESO.COM,977443525,Extensa,certificado,101,False,,Sant0208_mf0069_operacions de manteniment preventiu del vehicle i control de la seva dotació material_MONTESO CENTRE DE FORMACIÓ & AUTOESCOLES_Teleformació_100,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Sanitat', 'modalitat': 'Teleformació', 'hores': 'Extensa'}"
Hostaleria i turisme,Restauració,Guarnicions i presentacions culinàries,A08311342,GRUP CETT,8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,10,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161,Corta,otro,38,False,,Guarnicions i presentacions culinàries_GRUP CETT_Presencial_10,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Hostaleria i turisme', 'modalitat': 'Presencial', 'hores': 'Corta'}"
Serveis socioculturals i a la comunitat,Assistència social,SSCS0108_MP0028_Mòdul de pràctiques professionals no laborals d' 'Atenció sociosanitària a persones en el domicili',B60643004,Mordered,8096,GRANOLLERS,41,VALLÈS ORIENTAL,Presencial,Certificats de Professionalitat,120,https://www.mordered.com,mordered@mordered.com,938600800,Extensa,certificado,115,True,Pràctiques,SSCS0108_MP0028_Mòdul de pràctiques professionals no laborals d' 'Atenció sociosanitària a persones en el domicili'_Mordered_Presencial_120,Pràctiques,Pràctiques,"{'nivell': 'Pràctiques', 'tipus': 'Pràctiques', 'familia': 'Serveis socioculturals i a la comunitat', 'modalitat': 'Presencial', 'hores': 'Extensa'}"
Activitats físiques i esportives,Prevenció i recuperació,Afdp0109_mf0271_rescat de persones accidentades en instal·lacions aquàtiques,G60374022,JOVIAT,8113,MANRESA,7,BAGES,Presencial,Certificats de Professionalitat,90,https://www.joviat.cat,fcontinuada@joviat.cat,938726988,Extensa,certificado,76,False,,Afdp0109_mf0271_rescat de persones accidentades en instal·lacions aquàtiques_JOVIAT_Presencial_90,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Activitats físiques i esportives', 'modalitat': 'Presencial', 'hores': 'Extensa'}"
Sanitat,Atenció sanitària,"Sant0208_mf0071_tècniques d'immobilització, mobilització i trasllat del o de la pacient",B43431402,MONTESO CENTRE DE FORMACIÓ & AUTOESCOLES,43155,TORTOSA,9,BAIX EBRE,Presencial,Certificats de Professionalitat,100,https://www.autoescolesmonteso.com,INFO@AUTOESCOLESMONTESO.COM,977443525,Extensa,certificado,87,False,,"Sant0208_mf0071_tècniques d'immobilització, mobilització i trasllat del o de la pacient_MONTESO CENTRE DE FORMACIÓ & AUTOESCOLES_Presencial_100",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Sanitat', 'modalitat': 'Presencial', 'hores': 'Extensa'}"
Administració i gestió,Administració i auditoria,Adgd0308_mf0233_ofimàtica,B64064223,"AULA ACTIVA, FORMACIÓ I SERVEIS, SL",8019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,190,https://www.aulaactiva.org,info@aulaactiva.org,934815581,Extensa,certificado,25,False,,"Adgd0308_mf0233_ofimàtica_AULA ACTIVA, FORMACIÓ I SERVEIS, SL_Presencial_190",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Administració i gestió', 'modalitat': 'Presencial', 'hores': 'Extensa'}"
Activitats físiques i esportives,Prevenció i recuperació,Afdp0209_mf1082_prevenció d'accidents en espais aquàtics naturals,B55234140,SH CONCEPT FORMACIÓ S.L,17164,SANT HILARI SACALM,34,SELVA,Presencial,Certificats de Professionalitat,60,https://www.shcformacio.com,formacio@shcformacio.com,672371690,Larga,certificado,65,False,,Afdp0209_mf1082_prevenció d'accidents en espais aquàtics naturals_SH CONCEPT FORMACIÓ S.L_Presencial_60,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Activitats físiques i esportives', 'modalitat': 'Presencial', 'hores': 'Larga'}"
Competències transversals,Competències bàsiques per a l'ocupació,Resolució de conflictes,B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Teleformació,Altra Formació Professionalitzadora,30,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957,Media,otro,23,False,,Resolució de conflictes_FEMXA FORMACIÓN_Teleformació_30,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Competències transversals', 'modalitat': 'Teleformació', 'hores': 'Media'}"
Hostaleria i turisme,Restauració,Preparació de buffet,A08311342,GRUP CETT,8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,40,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161,Media,otro,20,False,,Preparació de buffet_GRUP CETT_Presencial_40,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Hostaleria i turisme', 'modalitat': 'Presencial', 'hores': 'Media'}"
Seguretat i medi ambient,Seguretat i prevenció,Mesures preventives en treballs en alçada,B25783671,LM IDIOMES LLEIDA SL,25120,LLEIDA,33,SEGRIÀ,Presencial,Altra Formació Professionalitzadora,8,https://laia@lmidiomes.com,laia@lmidiomes.com,605612456,Corta,otro,41,False,,Mesures preventives en treballs en alçada_LM IDIOMES LLEIDA SL_Presencial_8,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Seguretat i medi ambient', 'modalitat': 'Presencial', 'hores': 'Corta'}"
Agrària,Ramaderia,"Benestar animal per a titulars i personal d'explotacions bovines, ovines, caprines, conills i altres",B25783671,LM IDIOMES LLEIDA SL,25120,LLEIDA,33,SEGRIÀ,Presencial,"Acreditacions oficials que capaciten per a un lloc de treball, formació regulada per conveni col·lectiu o certificacions de fabricant TIC",20,https://laia@lmidiomes.com,laia@lmidiomes.com,605612456,Corta,otro,100,False,,"Benestar animal per a titulars i personal d'explotacions bovines, ovines, caprines, conills i altres_LM IDIOMES LLEIDA SL_Presencial_20",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Agrària', 'modalitat': 'Presencial', 'hores': 'Corta'}"
Hostaleria i turisme,Restauració,Creació de cartes i menús,A08311342,GRUP CETT,8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,30,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161,Media,otro,25,False,,Creació de cartes i menús_GRUP CETT_Presencial_30,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Hostaleria i turisme', 'modalitat': 'Presencial', 'hores': 'Media'}"
Hostaleria i turisme,Restauració,Hotr0108_mp0014_mòdul de pràctiques professionals no laborals d' 'operacions bàsiques de cuina',G58011495,ESHOB,8019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,80,https://www.eshobfors.com,cursos@eshobfors.com,689291212,Larga,certificado,95,False,Pràctiques,Hotr0108_mp0014_mòdul de pràctiques professionals no laborals d' 'operacions bàsiques de cuina'_ESHOB_Presencial_80,Pràctiques,Pràctiques,"{'nivell': 'Pràctiques', 'tipus': 'Pràctiques', 'familia': 'Hostaleria i turisme', 'modalitat': 'Presencial', 'hores': 'Larga'}"
Administració i gestió,Gestió de la informació i comunicació,ADGG0508_MF0971_Reproducció i arxivament,B67388645,FORMACIÓ I ORIENTACIÓ PLANETA S.L.,8279,TERRASSA,40,VALLÈS OCCIDENTAL,Teleformació,Certificats de Professionalitat,120,https://aeplaneta.es/,formacio@aeplaneta.es,679514394,Extensa,certificado,40,True,,ADGG0508_MF0971_Reproducció i arxivament_FORMACIÓ I ORIENTACIÓ PLANETA S.L._Teleformació_120,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Administració i gestió', 'modalitat': 'Teleformació', 'hores': 'Extensa'}"
Comerç i màrqueting,Màrqueting i relacions públiques,Analítica i màrqueting digital,B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Teleformació,Altra Formació Professionalitzadora,30,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957,Media,otro,30,False,,Analítica i màrqueting digital_FEMXA FORMACIÓN_Teleformació_30,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Comerç i màrqueting', 'modalitat': 'Teleformació', 'hores': 'Media'}"
Edificació i obra civil,Col·locació i muntatge,Eocj0109_mf1926_tasques bàsiques en muntatge de bastides tubulars,G17047002,UNIÓ D'EMPRESARIS DE LA CONSTRUCCIÓ DE GIRONA,17079,GIRONA,20,GIRONÈS,Presencial,Certificats de Professionalitat,60,https://www.uecgirona.com,formacio@uecgirona.com,972596460,Larga,certificado,65,False,,Eocj0109_mf1926_tasques bàsiques en muntatge de bastides tubulars_UNIÓ D'EMPRESARIS DE LA CONSTRUCCIÓ DE GIRONA_Presencial_60,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Edificació i obra civil', 'modalitat': 'Presencial', 'hores': 'Larga'}"
Edificació i obra civil,Maquinària de construcció,Operador/a de plataformes mòbils de personal (pemp),B25783671,LM IDIOMES LLEIDA SL,25120,LLEIDA,33,SEGRIÀ,Presencial,Altra Formació Professionalitzadora,12,https://laia@lmidiomes.com,laia@lmidiomes.com,605612456,Corta,otro,51,False,,Operador/a de plataformes mòbils de personal (pemp)_LM IDIOMES LLEIDA SL_Presencial_12,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Edificació i obra civil', 'modalitat': 'Presencial', 'hores': 'Corta'}"
Seguretat i medi ambient,Seguretat i prevenció,"Sead0212_mf0082_vigilància, transport i distribució d'objectes valuosos o perillosos i explosius",B60643004,Mordered,8096,GRANOLLERS,41,VALLÈS ORIENTAL,Presencial,Certificats de Professionalitat,60,https://www.mordered.com,mordered@mordered.com,938600800,Larga,certificado,96,False,,"Sead0212_mf0082_vigilància, transport i distribució d'objectes valuosos o perillosos i explosius_Mordered_Presencial_60",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Seguretat i medi ambient', 'modalitat': 'Presencial', 'hores': 'Larga'}"
Hostaleria i turisme,Restauració,Sumilleria i maridatge,A08311342,GRUP CETT,8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,20,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161,Corta,otro,22,False,,Sumilleria i maridatge_GRUP CETT_Presencial_20,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Hostaleria i turisme', 'modalitat': 'Presencial', 'hores': 'Corta'}"
Administració i gestió,Gestió de la informació i comunicació,"ADGG0508_MF0974_Tractament de dades, textos i documentació",F08954059,DRECERA SCCL,8157,PALLEJÀ,11,BAIX LLOBREGAT,Presencial,Certificats de Professionalitat,150,https://sefor.drecera.org,kbastida@drecera.org,934472288,Extensa,certificado,58,True,,"ADGG0508_MF0974_Tractament de dades, textos i documentació_DRECERA SCCL_Presencial_150",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Administració i gestió', 'modalitat': 'Presencial', 'hores': 'Extensa'}"
Química,Transformació de polímers,Quit0209_mf0330_operacions de transformació de termoplàstics,G66210345,EURECAT,8266,CERDANYOLA DEL VALLÈS,40,VALLÈS OCCIDENTAL,Presencial,Certificats de Professionalitat,140,https://www.eurecatacademy.org,academy@eurecat.org,937419100,Extensa,certificado,60,False,,Quit0209_mf0330_operacions de transformació de termoplàstics_EURECAT_Presencial_140,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Química', 'modalitat': 'Presencial', 'hores': 'Extensa'}"
Serveis socioculturals i a la comunitat,Assistència social,SSCS0208_MF1017_Intervenció en l'atenció higienicoalimentària en institucions,R5800395E,Fundació Pere Tarres,8019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,70,https://www.peretarres.org,if@peretarres.org,934101602,Larga,certificado,77,True,,SSCS0208_MF1017_Intervenció en l'atenció higienicoalimentària en institucions_Fundació Pere Tarres_Presencial_70,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Serveis socioculturals i a la comunitat', 'modalitat': 'Presencial', 'hores': 'Larga'}"
Comerç i màrqueting,Venda,Comv0108_mf0240_operacions auxiliars a la venda,B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Teleformació,Certificats de Professionalitat,140,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957,Extensa,certificado,47,False,,Comv0108_mf0240_operacions auxiliars a la venda_FEMXA FORMACIÓN_Teleformació_140,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Comerç i màrqueting', 'modalitat': 'Teleformació', 'hores': 'Extensa'}"
Hostaleria i turisme,Restauració,Decoració i exposició de plats,A08311342,GRUP CETT,8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,40,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161,Media,otro,30,False,,Decoració i exposició de plats_GRUP CETT_Presencial_40,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Hostaleria i turisme', 'modalitat': 'Presencial', 'hores': 'Media'}"
Agrària,Ramaderia,"Benestar animal durant el sacrifici, per al personal encarregat de benestar animal",B25783671,LM IDIOMES LLEIDA SL,25120,LLEIDA,33,SEGRIÀ,Presencial,Altra Formació Professionalitzadora,20,https://laia@lmidiomes.com,laia@lmidiomes.com,605612456,Corta,otro,82,False,,"Benestar animal durant el sacrifici, per al personal encarregat de benestar animal_LM IDIOMES LLEIDA SL_Presencial_20",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Agrària', 'modalitat': 'Presencial', 'hores': 'Corta'}"
Administració i gestió,Gestió de la informació i comunicació,Neurolideratge,F08954059,DRECERA SCCL,8157,PALLEJÀ,11,BAIX LLOBREGAT,Teleformació,Altra Formació Professionalitzadora,30,https://sefor.drecera.org,kbastida@drecera.org,934472288,Media,otro,14,False,,Neurolideratge_DRECERA SCCL_Teleformació_30,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Administració i gestió', 'modalitat': 'Teleformació', 'hores': 'Media'}"
Competències transversals,Habilitats personals i socials,Mindfulness,F08954059,DRECERA SCCL,8157,PALLEJÀ,11,BAIX LLOBREGAT,Teleformació,Altra Formació Professionalitzadora,30,https://sefor.drecera.org,kbastida@drecera.org,934472288,Media,otro,11,False,,Mindfulness_DRECERA SCCL_Teleformació_30,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Competències transversals', 'modalitat': 'Teleformació', 'hores': 'Media'}"
Administració i gestió,Gestió de la informació i comunicació,ADGG0508_MF0973_Enregistrament de dades,F08954059,DRECERA SCCL,8157,PALLEJÀ,11,BAIX LLOBREGAT,Presencial,Certificats de Professionalitat,90,https://sefor.drecera.org,kbastida@drecera.org,934472288,Extensa,certificado,39,True,,ADGG0508_MF0973_Enregistrament de dades_DRECERA SCCL_Presencial_90,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Administració i gestió', 'modalitat': 'Presencial', 'hores': 'Extensa'}"
Sanitat,Atenció sanitària,Sant0208_mf0069_operacions de manteniment preventiu del vehicle i control de la seva dotació material,B64064223,"AULA ACTIVA, FORMACIÓ I SERVEIS, SL",8019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,100,https://www.aulaactiva.org,info@aulaactiva.org,934815581,Extensa,certificado,101,False,,"Sant0208_mf0069_operacions de manteniment preventiu del vehicle i control de la seva dotació material_AULA ACTIVA, FORMACIÓ I SERVEIS, SL_Presencial_100",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Sanitat', 'modalitat': 'Presencial', 'hores': 'Extensa'}"
Serveis socioculturals i a la comunitat,Assistència social,SSCS0208_MF1016_Suport en l'organització d'intervencions en l'àmbit institucional,B63073472,ETIF,8056,CASTELLDEFELS,11,BAIX LLOBREGAT,Teleformació,Certificats de Professionalitat,100,https://ETIF.ES,INFO@ETIF.ES,936655875,Extensa,certificado,81,True,,SSCS0208_MF1016_Suport en l'organització d'intervencions en l'àmbit institucional_ETIF_Teleformació_100,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Serveis socioculturals i a la comunitat', 'modalitat': 'Teleformació', 'hores': 'Extensa'}"
