IDENTIFICADOR,FAMÍLIA PROFESSIONAL,ÀREA PROFESSIONAL,NOM DE L'ACCIÓ,NIF_ENTITAT_FORMACIÓ,ENTITAT,CODI_MUNICIPI,NOM_MUNICIPI,CODI_COMARCA,NOM_COMARCA,MODALITAT,TIPUS DE FORMACIÓ,HORES,WEB,CORREU ELECTRÒNIC,TELÈFON
258454,Serveis socioculturals i a la comunitat,Formació i educació,SSCE0110_MF1444_Impartició i tutorització d'accions formatives per a l'ocupació,B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Teleformació,Certificats de Professionalitat,100,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957
258823,Administració i gestió,Administració i auditoria,ADGD0308_MF0976_Operacions administratives comercials,B61420824,FOMENT FORMACIÓ,08019,BARCELONA,13,BARCELONÈS,Presencial,,160,www.fomentformacio.com,formacio@foment.com,934841232
257941,Hostaleria i turisme,Restauració,HOTR0109_MP0167_Mòdul de pràctiques professionals no laborals d' 'Operacions bàsiques de pastisseria',G58011495,ESHOB,08019,BARCELONA,13,BARCELONÈS,Presencial,,80,www.eshobfors.com,cursos@eshobfors.com,689291212
258446,Comerç i màrqueting,Compravenda,COMT0211_MF1329_Atenció bàsica als clients,B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Teleformació,,50,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957
257821,Fabricació mecànica,Construccions metàl·liques,FMEC0110_UF1622_Processos de tall i preparació de vores,F08766131,CENTRE D'ESTUDIS JAUME BALMES,08101,L'HOSPITALET DE LLOBREGAT,13,BARCELONÈS,Presencial,,70,www.balmesinnova.com,gonzalo.rodriguez@balmesinnova.com,609140649
259557,Sanitat,Atenció sanitària,SANT0208_MF0069_Operacions de manteniment preventiu del vehicle i control de la seva dotació material,B43431402,MONTESO CENTRE DE FORMACIÓ & AUTOESCOLES,43155,TORTOSA,09,BAIX EBRE,Teleformació,,100,https://www.autoescolesmonteso.com,INFO@AUTOESCOLESMONTESO.COM,977443525
251428,Hostaleria i turisme,Restauració,Guarnicions i presentacions culinàries,A08311342,GRUP CETT,08019,BARCELONA,13,BARCELONÈS,Presencial,,10,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161
259313,Serveis socioculturals i a la comunitat,Assistència social,SSCS0108_MP0028_Mòdul de pràctiques professionals no laborals d' 'Atenció sociosanitària a persones en el domicili',B60643004,Mordered,08096,GRANOLLERS,41,VALLÈS ORIENTAL,Presencial,Certificats de Professionalitat,120,https://www.mordered.com,mordered@mordered.com,938600800
258164,Activitats físiques i esportives,Prevenció i recuperació,AFDP0109_MF0271_Rescat de persones accidentades en instal·lacions aquàtiques,G60374022,JOVIAT,08113,MANRESA,07,BAGES,Presencial,,90,www.joviat.cat,fcontinuada@joviat.cat,938726988
259554,Sanitat,Atenció sanitària,"SANT0208_MF0071_Tècniques d'immobilització, mobilització i trasllat del o de la pacient",B43431402,MONTESO CENTRE DE FORMACIÓ & AUTOESCOLES,43155,TORTOSA,09,BAIX EBRE,Presencial,Certificats de Professionalitat,100,https://www.autoescolesmonteso.com,INFO@AUTOESCOLESMONTESO.COM,977443525
258305,Administració i gestió,Administració i auditoria,ADGD0308_MF0233_Ofimàtica,B64064223,"AULA ACTIVA, FORMACIÓ I SERVEIS, SL",08019,BARCELONA,13,BARCELONÈS,Presencial,,190,www.aulaactiva.org,info@aulaactiva.org,934815581
260450,Activitats físiques i esportives,Prevenció i recuperació,AFDP0209_MF1082_Prevenció d'accidents en espais aquàtics naturals,B55234140,SH CONCEPT FORMACIÓ S.L,17164,SANT HILARI SACALM,34,SELVA,Presencial,,60,www.shcformacio.com,formacio@shcformacio.com,672371690
249104,Competències transversals,Competències bàsiques per a l'ocupació,Resolució de conflictes,B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Teleformació,Altra Formació Professionalitzadora,30,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957
251432,Hostaleria i turisme,Restauració,Preparació de buffet,A08311342,GRUP CETT,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,40,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161
241681,Seguretat i medi ambient,Seguretat i prevenció,Mesures preventives en treballs en alçada,B25783671,LM IDIOMES LLEIDA SL,25120,LLEIDA,33,SEGRIÀ,Presencial,Altra Formació Professionalitzadora,8,laia@lmidiomes.com,laia@lmidiomes.com,605612456
241671,Agrària,Ramaderia,"Benestar animal per a titulars i personal d'explotacions bovines, ovines, caprines, conills i altres",B25783671,LM IDIOMES LLEIDA SL,25120,LLEIDA,33,SEGRIÀ,Presencial,"Acreditacions oficials que capaciten per a un lloc de treball, formació regulada per conveni col·lectiu o certificacions de fabricant TIC",20,laia@lmidiomes.com,laia@lmidiomes.com,605612456
251434,Hostaleria i turisme,Restauració,Creació de cartes i menús,A08311342,GRUP CETT,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,30,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161
257934,Hostaleria i turisme,Restauració,HOTR0108_MP0014_Mòdul de pràctiques professionals no laborals d' 'Operacions bàsiques de cuina',G58011495,ESHOB,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,80,www.eshobfors.com,cursos@eshobfors.com,689291212
259587,Administració i gestió,Gestió de la informació i comunicació,ADGG0508_MF0971_Reproducció i arxivament,B67388645,FORMACIÓ I ORIENTACIÓ PLANETA S.L.,08279,TERRASSA,40,VALLÈS OCCIDENTAL,Teleformació,,120,https://aeplaneta.es/,formacio@aeplaneta.es,679514394
249110,Comerç i màrqueting,Màrqueting i relacions públiques,Analítica i màrqueting digital,B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Teleformació,Altra Formació Professionalitzadora,30,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957
259224,Edificació i obra civil,Col·locació i muntatge,EOCJ0109_MF1926_Tasques bàsiques en muntatge de bastides tubulars,G17047002,UNIÓ D'EMPRESARIS DE LA CONSTRUCCIÓ DE GIRONA,17079,GIRONA,20,GIRONÈS,Presencial,,60,https://www.uecgirona.com,formacio@uecgirona.com,972596460
241682,Edificació i obra civil,Maquinària de construcció,Operador/a de plataformes mòbils de personal (PEMP),B25783671,LM IDIOMES LLEIDA SL,25120,LLEIDA,33,SEGRIÀ,Presencial,,12,laia@lmidiomes.com,laia@lmidiomes.com,605612456
259308,Seguretat i medi ambient,Seguretat i prevenció,"SEAD0212_MF0082_Vigilància, transport i distribució d'objectes valuosos o perillosos i explosius",B60643004,Mordered,08096,GRANOLLERS,41,VALLÈS ORIENTAL,Presencial,,60,https://www.mordered.com,mordered@mordered.com,938600800
251444,Hostaleria i turisme,Restauració,Sumilleria i maridatge,A08311342,GRUP CETT,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,20,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161
259784,Administració i gestió,Gestió de la informació i comunicació,"ADGG0508_MF0974_Tractament de dades, textos i documentació",F08954059,DRECERA SCCL,08157,PALLEJÀ,11,BAIX LLOBREGAT,Presencial,Certificats de Professionalitat,150,sefor.drecera.org,kbastida@drecera.org,934472288
259088,Química,Transformació de polímers,QUIT0209_MF0330_Operacions de transformació de termoplàstics,G66210345,EURECAT,08266,CERDANYOLA DEL VALLES,40,VALLÈS OCCIDENTAL,Presencial,,140,www.eurecatacademy.org,academy@eurecat.org,937419100
256866,Serveis socioculturals i a la comunitat,Assistència social,SSCS0208_MF1017_Intervenció en l'atenció higienicoalimentària en institucions,R5800395E,Fundació Pere Tarres,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,70,www.peretarres.org,if@peretarres.org,934101602
258447,Comerç i màrqueting,Venda,COMV0108_MF0240_Operacions auxiliars a la venda,B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Teleformació,,140,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957
251435,Hostaleria i turisme,Restauració,Decoració i exposició de plats,A08311342,GRUP CETT,08019,BARCELONA,13,BARCELONÈS,Presencial,,40,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161
241669,Agrària,Ramaderia,"Benestar animal durant el sacrifici, per al personal encarregat de benestar animal",B25783671,LM IDIOMES LLEIDA SL,25120,LLEIDA,33,SEGRIÀ,Presencial,Altra Formació Professionalitzadora,20,laia@lmidiomes.com,laia@lmidiomes.com,605612456
255825,Administració i gestió,Gestió de la informació i comunicació,Neurolideratge,F08954059,DRECERA SCCL,08157,PALLEJÀ,11,BAIX LLOBREGAT,Teleformació,Altra Formació Professionalitzadora,30,sefor.drecera.org,kbastida@drecera.org,934472288
255821,Competències transversals,Habilitats personals i socials,Mindfulness,F08954059,DRECERA SCCL,08157,PALLEJÀ,11,BAIX LLOBREGAT,Teleformació,Altra Formació Professionalitzadora,30,sefor.drecera.org,kbastida@drecera.org,934472288
259783,Administració i gestió,Gestió de la informació i comunicació,ADGG0508_MF0973_Enregistrament de dades,F08954059,DRECERA SCCL,08157,PALLEJÀ,11,BAIX LLOBREGAT,Presencial,,90,sefor.drecera.org,kbastida@drecera.org,934472288
258315,Sanitat,Atenció sanitària,SANT0208_MF0069_Operacions de manteniment preventiu del vehicle i control de la seva dotació material,B64064223,"AULA ACTIVA, FORMACIÓ I SERVEIS, SL",08019,BARCELONA,13,BARCELONÈS,Presencial,,100,www.aulaactiva.org,info@aulaactiva.org,934815581
259422,Serveis socioculturals i a la comunitat,Assistència social,SSCS0208_MF1016_Suport en l'organització d'intervencions en l'àmbit institucional,B63073472,ETIF,08056,CASTELLDEFELS,11,BAIX LLOBREGAT,Teleformació,Certificats de Professionalitat,100,ETIF.ES,INFO@ETIF.ES,936655875
250718,Formació complementària,Digitals / Ofimàtica / Tics,Resolució de problemes a l'entorn digital (ACTIC Nivell avançat),G63127708,Catformació,08019,BARCELONA,13,BARCELONÈS,Presencial,,40,www.catformacio.com,info@catformacio.org,932172515
258166,Activitats físiques i esportives,Prevenció i recuperació,AFDP0109_MP0186_Mòdul de pràctiques professionals no laborals de 'Socorrisme en instal·lacions aquàtiques',G60374022,JOVIAT,08113,MANRESA,07,BAGES,Presencial,,80,www.joviat.cat,fcontinuada@joviat.cat,938726988
241670,Agrària,Ramaderia,Benestar animal per a transportistes i responsables d'animals durant el transport,B25783671,LM IDIOMES LLEIDA SL,25120,LLEIDA,33,SEGRIÀ,Presencial,,20,laia@lmidiomes.com,laia@lmidiomes.com,605612456
251423,Indústries alimentàries,"Fleca, pastisseria, confiteria i molineria",Productes de pastisseria per a festivitats,A08311342,GRUP CETT,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,10,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161
256889,Serveis socioculturals i a la comunitat,Formació i educació,SSCE0110_MF1446_Orientació laboral i promoció de la qualitat en la formació professional per a l'ocupació,F59197996,FEMAREC,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,30,www.femarec.cat,dpch@femarec.cat,932437272
256878,Serveis socioculturals i a la comunitat,Formació i educació,SSCE0110_MF1446_Orientació laboral i promoció de la qualitat en la formació professional per a l'ocupació,R5800395E,Fundació Pere Tarres,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,30,www.peretarres.org,if@peretarres.org,934101602
257762,Seguretat i medi ambient,Seguretat i prevenció,"SEAD0112_MP0557_Mòdul de pràctiques professionals no laborals de 'Vigilància, seguretat privada i protecció de persones'",G60189057,IDFO,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,40,www.idfo.com,sroman@idfo.com,932689292
249102,Competències transversals,Habilitats personals i socials,Habilitats de comunicació,B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Teleformació,Altra Formació Professionalitzadora,30,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957
258450,Serveis socioculturals i a la comunitat,Assistència social,SSCS0208_MF1018_Intervenció en l'atenció sociosanitària en institucions,B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Teleformació,Certificats de Professionalitat,70,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957
251441,Hostaleria i turisme,Restauració,Organització d'esdeveniments en restauració i hostaleria,A08311342,GRUP CETT,08019,BARCELONA,13,BARCELONÈS,Presencial,,45,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161
259321,Serveis socioculturals i a la comunitat,Assistència social,SSCS0208_MF1018_Intervenció en l'atenció sociosanitària en institucions,B60643004,Mordered,08096,GRANOLLERS,41,VALLÈS ORIENTAL,Teleformació,Certificats de Professionalitat,70,https://www.mordered.com,mordered@mordered.com,938600800
257963,Hostaleria i turisme,Restauració,HOTR0408_UF0069_Elaboracions bàsiques de rebosteria i postres elementals,G58011495,ESHOB,08019,BARCELONA,13,BARCELONÈS,Presencial,,40,www.eshobfors.com,cursos@eshobfors.com,689291212
241673,Agrària,Agricultura,Manipulació i aplicació de productes fitosanitaris. Nivell avançat,B25783671,LM IDIOMES LLEIDA SL,25120,LLEIDA,33,SEGRIÀ,Presencial,"Acreditacions oficials que capaciten per a un lloc de treball, formació regulada per conveni col·lectiu o certificacions de fabricant TIC",60,laia@lmidiomes.com,laia@lmidiomes.com,605612456
259073,Administració i gestió,Gestió de la informació i comunicació,ADGG0508_UF0511_Tractament bàsic de dades i fulls de càlcul,B25038035,INLINGUA LLEIDA,25120,LLEIDA,33,SEGRIÀ,Presencial,,50,https://inlingualleida.es/,lleida.informatica@inlingua.es,973240716
258113,Seguretat i medi ambient,Seguretat i prevenció,"SEAD0112_MP0557_Mòdul de pràctiques professionals no laborals de 'Vigilància, seguretat privada i protecció de persones'",B62278783,CRITERIA,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,40,https://www.girosformacion.com,cursos@criteria.es,932652677
241680,Edificació i obra civil,Maquinària de construcció,Actualització plataformes elevadores mòbils de personal (PEMP),B25783671,LM IDIOMES LLEIDA SL,25120,LLEIDA,33,SEGRIÀ,Presencial,Altra Formació Professionalitzadora,8,laia@lmidiomes.com,laia@lmidiomes.com,605612456
257962,Hostaleria i turisme,Restauració,HOTR0608_MF1054_Serveis especials en restauració,G58011495,ESHOB,08019,BARCELONA,13,BARCELONÈS,Presencial,,80,www.eshobfors.com,cursos@eshobfors.com,689291212
251162,Competències transversals,Habilitats de gestió / Organitzacionals / Metodològiques,Gestió del temps i productivitat,B61406997,Egara Formació,08279,TERRASSA,40,VALLÈS OCCIDENTAL,Presencial,Altra Formació Professionalitzadora,30,www.egaraformacio.com,cursos@egaraformacio.com,937339820
259310,Serveis socioculturals i a la comunitat,Assistència social,SSCS0108_MF0249_Higiene i atenció sanitària domiciliària,B60643004,Mordered,08096,GRANOLLERS,41,VALLÈS ORIENTAL,Presencial,Certificats de Professionalitat,170,https://www.mordered.com,mordered@mordered.com,938600800
259555,Sanitat,Atenció sanitària,SANT0208_MF0072_Tècniques de recolzament psicològic i social en situacions de crisi,B43431402,MONTESO CENTRE DE FORMACIÓ & AUTOESCOLES,43155,TORTOSA,09,BAIX EBRE,Presencial,,40,https://www.autoescolesmonteso.com,INFO@AUTOESCOLESMONTESO.COM,977443525
258155,Sanitat,Atenció sanitària,SANT0108_MF0072_Tècniques de recolzament psicològic i social en situacions de crisi,G60374022,JOVIAT,08113,MANRESA,07,BAGES,Presencial,Certificats de Professionalitat,40,www.joviat.cat,fcontinuada@joviat.cat,938726988
258444,Administració i gestió,Gestió de la informació i comunicació,ADGG0508_MP0110_Mòdul de pràctiques professionals no laborals d''Operacions auxiliars d'enregistrament i tractament de dades i documents',B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Presencial,,80,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957
249112,Serveis socioculturals i a la comunitat,Formació i educació,Agent d'Igualtat,B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Teleformació,,50,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957
251436,Hostaleria i turisme,Restauració,Postres de restaurant vanguardistes,A08311342,GRUP CETT,08019,BARCELONA,13,BARCELONÈS,Presencial,,40,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161
260029,Serveis socioculturals i a la comunitat,Assistència social,SSCS0208_MF1016_Suport en l'organització d'intervencions en l'àmbit institucional,B59974873,OFIBARNA,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,100,www.grupoqid.com,ofibarna@qidconsultors.com,931150510
256897,Serveis socioculturals i a la comunitat,Serveis al consumidor,SSCI0209_MF1436_Gestió i emmagatzemament del material de neteja,F59197996,FEMAREC,08019,BARCELONA,13,BARCELONÈS,Presencial,,90,www.femarec.cat,dpch@femarec.cat,932437272
251437,Hostaleria i turisme,Restauració,Postres de restaurant clàssics,A08311342,GRUP CETT,08019,BARCELONA,13,BARCELONÈS,Presencial,,20,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161
251439,Hostaleria i turisme,Restauració,Cuina vegana,A08311342,GRUP CETT,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,15,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161
260439,Activitats físiques i esportives,Prevenció i recuperació,AFDP0109_UF0908_Tècniques específiques de natació en el medi aquàtic,B55234140,SH CONCEPT FORMACIÓ S.L,17164,SANT HILARI SACALM,34,SELVA,Presencial,,80,www.shcformacio.com,formacio@shcformacio.com,672371690
258455,Serveis socioculturals i a la comunitat,Formació i educació,SSCE0110_MF1446_Orientació laboral i promoció de la qualitat en la formació professional per a l'ocupació,B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Teleformació,Certificats de Professionalitat,30,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957
258441,Administració i gestió,Gestió de la informació i comunicació,ADGG0508_MF0971_Reproducció i arxivament,B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Teleformació,,120,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957
258458,Serveis socioculturals i a la comunitat,Formació i educació,SSCE0110_MP0353_Mòdul de pràctiques professionals no laborals de 'Docència de la formació professional per a l'ocupació',B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Presencial,Certificats de Professionalitat,40,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957
259312,Serveis socioculturals i a la comunitat,Assistència social,SSCS0108_MF0251_Suport domiciliari i alimentació familiar,B60643004,Mordered,08096,GRANOLLERS,41,VALLÈS ORIENTAL,Presencial,Certificats de Professionalitat,100,https://www.mordered.com,mordered@mordered.com,938600800
249108,Administració i gestió,Administració i auditoria,Gestió de recursos humans,B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Teleformació,Altra Formació Professionalitzadora,60,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957
259593,Administració i gestió,Administració i auditoria,ADGD0208_MF0238_Gestió de recursos humans,B67388645,FORMACIÓ I ORIENTACIÓ PLANETA S.L.,08279,TERRASSA,40,VALLÈS OCCIDENTAL,Teleformació,Certificats de Professionalitat,150,https://aeplaneta.es/,formacio@aeplaneta.es,679514394
251344,Competències transversals,Habilitats de gestió / Organitzacionals / Metodològiques,Principis bàsics de la intel·ligència emocional,A08741530,ADAMS FORMACIÓ,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,30,www.adams.es,formacionbarcelona@adams.es,932081507
256847,Serveis socioculturals i a la comunitat,Formació i educació,SSCE0110_MF1444_Impartició i tutorització d'accions formatives per a l'ocupació,B66117797,"P.H.R.O. TRAINING CONSULTANTS & PARTNERS, S.L.",08266,CERDANYOLA DEL VALLÈS,40,VALLÈS OCCIDENTAL,Presencial,Certificats de Professionalitat,100,phrofessional.com,phrofessional@phrofessional.com,935948990
259320,Serveis socioculturals i a la comunitat,Assistència social,SSCS0208_MF1017_Intervenció en l'atenció higienicoalimentària en institucions,B60643004,Mordered,08096,GRANOLLERS,41,VALLÈS ORIENTAL,Teleformació,Certificats de Professionalitat,70,https://www.mordered.com,mordered@mordered.com,938600800
258162,Activitats físiques i esportives,Prevenció i recuperació,AFDP0109_MF0269_Natació,G60374022,JOVIAT,08113,MANRESA,07,BAGES,Presencial,,120,www.joviat.cat,fcontinuada@joviat.cat,938726988
259565,Serveis socioculturals i a la comunitat,Formació i educació,"SSCE0110_MF1443_Selecció, elaboració, adaptació i utilizació de materials, mitjans i recursos didàctics i",B43431402,MONTESO CENTRE DE FORMACIÓ & AUTOESCOLES,43155,TORTOSA,09,BAIX EBRE,Presencial,Certificats de Professionalitat,90,https://www.autoescolesmonteso.com,INFO@AUTOESCOLESMONTESO.COM,977443525
255798,Formació complementària,Seguritat alimentària,Manipulació d'aliments,B61420824,FOMENT FORMACIÓ,08019,BARCELONA,13,BARCELONÈS,Teleformació,Altra Formació Professionalitzadora,10,www.fomentformacio.com,formacio@foment.com,934841232
250476,Comerç i màrqueting,Màrqueting i relacions públiques,Comunicació i planificació en publicitat,G63127708,Catformació,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,30,www.catformacio.com,info@catformacio.org,932172515
249109,Comerç i màrqueting,Màrqueting i relacions públiques,Gestió de les xarxes socials a l'empresa,B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Teleformació,Altra Formació Professionalitzadora,50,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957
259574,Serveis socioculturals i a la comunitat,Formació i educació,SSCE0110_MF1446_Orientació laboral i promoció de la qualitat en la formació professional per a l'ocupació,B43431402,MONTESO CENTRE DE FORMACIÓ & AUTOESCOLES,43155,TORTOSA,09,BAIX EBRE,Teleformació,Certificats de Professionalitat,30,https://www.autoescolesmonteso.com,INFO@AUTOESCOLESMONTESO.COM,977443525
258457,Serveis socioculturals i a la comunitat,Formació i educació,"SSCE0110_MF1443_Selecció, elaboració, adaptació i utilizació de materials, mitjans i recursos didàctics i",B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Teleformació,Certificats de Professionalitat,90,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957
258165,Activitats físiques i esportives,Prevenció i recuperació,AFDP0109_MF0272_Primers auxilis,G60374022,JOVIAT,08113,MANRESA,07,BAGES,Presencial,,40,www.joviat.cat,fcontinuada@joviat.cat,938726988
251426,Hostaleria i turisme,Restauració,Atenció al client en restauració,A08311342,GRUP CETT,08019,BARCELONA,13,BARCELONÈS,Presencial,,15,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161
