codicurs,nomcurs,desccursCAT,codiarea,tipuscurs,duradacurs,personesdest,requisits,temari,sortides,titulacio,codimodalitat,nommodalitat,importe,financiacio,datainici,preinscripcio,paraulesclau,nomcentre,codimunicipi,adrecacentre,latitud,longitud,telefon,correu,web,codipostal,codicentre,departament,desccursES,Georeferència
24/CIFOCS_ED-C-2023/719/0189756/004,Mecanització per arrencament de ferritja,Contacteu amb l'entitat,FMH,FO,540,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/FMEH0109.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,06/11/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189756/004&codi_curso_seleccionado=24/CIFOCS_ED-C-2023/719/0189756/004,,CIFO Sant Feliu,8211,CR L¿Hospitalet 3,41.386196,2.041162,936857790,cifo_santfeliu.soc@gencat.cat,https://serveiocupacio.gencat.cat/cifosantfeliu,08980,12387,SOC,Contacteu amb l'entitat,
24/FPOIES_23_24/714/0189060/001,Activitats auxiliars de comerç,Contacteu amb l'entitat,CMT,FO,230,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/COMT0211.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,30/09/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189060/001&codi_curso_seleccionado=24/FPOIES_23_24/714/0189060/001,,INSTITUT MONTSIà,43014,CR MADRID 35-49,40.708984,0.583067,977700043,E3006101@XTEC.CAT,https://agora.xtec.cat/insmontsia/,43870,45520,SOC,Contacteu amb l'entitat,
24/ATCC2/712/0188445/029,Bones pràctiques ambientals a l'hostaleria,Contacteu amb l'entitat,HTR,FO,6,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/HOTR38.pdf,,Certificat d'assistència,Presencial,Presencial,0,Sí,13/11/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0188445/029&codi_curso_seleccionado=24/ATCC2/712/0188445/029,,CONSULTORIA INCORPORA,8089,CR Sant Isidre 66,41.281376,1.981161,938029983,raimon@consultoriaincorpora.com,,08860,46233,SOC,Contacteu amb l'entitat,
23/FOAP/680/0184162/002,Front End Web Developer,Contacteu amb l'entitat,ICD,FO,240,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/IFCD65.pdf,,Certificat d'assistència,Presencial,Presencial,0,Sí,28/10/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0184162/002&codi_curso_seleccionado=23/FOAP/680/0184162/002,,FUNDACIó PER A LA UNIVERSITAT OBERTA DE CATALUNYA,8019,AV TIBIDABO 39-41,41.406956,2.194318,932530000,GERENCIA@UOC.EDU,http://www.uoc.edu,08018,45785,SOC,Contacteu amb l'entitat,
24/FPOIES_23_24/714/0189753/001,"Pintura, reparació i construcció d'elements de plàstic reforçat amb fibra d'embarcacions esportives i d'esbarjo",Contacteu amb l'entitat,TMU,FO,400,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/TMVU0111.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,05/11/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189753/001&codi_curso_seleccionado=24/FPOIES_23_24/714/0189753/001,,INSTITUT ELS ALFACS,43136,CR DOCTOR TORNé S/N,40.61714,0.59523,977746892,E3007221@XTEC.CAT,https://agora.xtec.cat/iesalfacs/,43540,46046,SOC,Contacteu amb l'entitat,
23/FOAP/680/0184075/030,Atenció i Informació als Viatgers de l'Autobús (Formació Complementària CAP Viatgers),Contacteu amb l'entitat,TMI,FO,8,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/TMVI34.pdf,,Certificat d'assistència,Presencial,Presencial,0,Sí,10/12/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0184075/030&codi_curso_seleccionado=23/FOAP/680/0184075/030,,AUTOESCOLA MATADEPERA S.L,8279,CT MONTCADA 180,41.557205,2.013345,937835678,SECCIO04@AUTOESCOLAMATADEPERA.CAT,http://autoescolamatadepera.cat/,08223,26298,SOC,Contacteu amb l'entitat,
24/FPOIES_23_24/714/0189764/007,Operacions de vigilància i extinció d'incendis forestals i recolzament a contingències en el medi natural i rural,Contacteu amb l'entitat,SMD,FO,370,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/SEAD0411.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,01/10/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189764/007&codi_curso_seleccionado=24/FPOIES_23_24/714/0189764/007,,INSTITUT CENTRE D'ESPORTS DE MUNTANYA DEL PALLARS,25171,PL DE LES POBLES S/N,0,0,667796159,meritxell.arderiu@gencat.cat,https://icempallars.net/,25500,45555,SOC,Contacteu amb l'entitat,
24/FPOIES_23_24/714/0188857/001,ACTIVITATS D'ENGREIXAMENT  D'ESPÈCIES AQÜÍCOLES,Contacteu amb l'entitat,MPU,FO,240,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/MAPU0209.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,03/02/2025,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0188857/001&codi_curso_seleccionado=24/FPOIES_23_24/714/0188857/001,,INSTITUT D'ESTUDIS PROFESSIONALS AQüíCOLES I AMBIENTALS DE CATALUNYA,43136,CT POBLE NOU KM 5.5 S/N,0,0,620891058,E3013117@XTEC.CAT,http://www.iepaac.cat,43540,45578,SOC,Contacteu amb l'entitat,
23/FOAP/680/0184326/028,Organització i gestió de magatzems,Contacteu amb l'entitat,CML,FO,310,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/COML0309.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,30/09/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0184326/028&codi_curso_seleccionado=23/FOAP/680/0184326/028,,INSTITUT CATALA ENSENYAMENT INDUSTRIAL S.L.,8101,CR SANTA EULALIA 174,41.3654,2.122147,0934227088,y.roch@icei-formacion.com,http://www.instcat.com,08902,1882,SOC,Contacteu amb l'entitat,
24/CIFOCS_ED/707/0189800/002,Activitats de gestió administrativa,Contacteu amb l'entitat,AGD,FO,800,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/ADGD0308.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,02/12/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189800/002&codi_curso_seleccionado=24/CIFOCS_ED/707/0189800/002,,CIFO Tarragona,43148,CM de la Budallera s/n,41.143463,1.291791,977251566,cifo_tarragona.soc@gencat.cat,https://serveiocupacio.gencat.cat/cifotarragona,43007,12385,SOC,Contacteu amb l'entitat,
24/FPOIES_23_24/714/0189018/001,Muntatge i postproducció d'audiovisuals,Contacteu amb l'entitat,ISV,FO,240,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/IMSV0109.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,23/09/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189018/001&codi_curso_seleccionado=24/FPOIES_23_24/714/0189018/001,,IES SEP MARE DE DÉU DE LA MERCÈ,8019,CR MOTORS 122-130,0,0,932232566,asalinas@lamerce.com,,08040,3319,SOC,Contacteu amb l'entitat,
23/FOAP/680/0184224/009,"Vigilància, seguretat privada i protecció d'explosius",Contacteu amb l'entitat,SMD,FO,310,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/SEAD0212.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,16/09/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0184224/009&codi_curso_seleccionado=23/FOAP/680/0184224/009,,LIDIA LÓPEZ VICARIO,17079,CR SANT MIQUEL 8,41.96893,2.827504,629156884,LLOPEZ@ACADEMIABULL.ES,,17003,46005,SOC,Contacteu amb l'entitat,
24/FPOIES_23_24/714/0189764/004,"Habilitació per a la docència en graus A, B i C del Sistema de Formació Professional",Contacteu amb l'entitat,SCE,FO,340,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/SSCE0110.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,01/10/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189764/004&codi_curso_seleccionado=24/FPOIES_23_24/714/0189764/004,,INSTITUT CENTRE D'ESPORTS DE MUNTANYA DEL PALLARS,25171,PL DE LES POBLES S/N,0,0,667796159,meritxell.arderiu@gencat.cat,https://icempallars.net/,25500,45555,SOC,Contacteu amb l'entitat,
24/FPOIES_23_24/714/0190608/001,Muntatge i manteniment d'instal·lacions solars fotovoltàiques,"Efectuar, sota la supervisió, el muntatge, posada en servei, operació i manteniment d'instal·lacions solars fotovoltaiques amb la qualitat i la seguretat requerides i complint la normativa vigent. Replantejar instal·lacions solars fotovoltaiques Man",EAE,FO,150,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/ENAE0108.pdf,Muntador/a de plaques d'energia solar Muntador/a d'instal·lacions solars fotovoltàiques Instal·lador/a de sistemes fotovoltàics i eòlics Operador/a en central solar fotovoltaic Operador/a d'instal·lacions solars fotovolàiques,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,04/02/2025,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0190608/001&codi_curso_seleccionado=24/FPOIES_23_24/714/0190608/001,,IES  TREMP,25234,"AV AV. BISBE IGLESIAS, 5 5",42.161827,0.894886,973650655,C5006288@XTEC.CAT,https://agora.xtec.cat/iestremp/,25620,2786,SOC,"Efectuar, sota la supervisió, el muntatge, posada en servei, operació i manteniment d'instal·lacions solars fotovoltaiques amb la qualitat i la seguretat requerides i complint la normativa vigent. Replantejar instal·lacions solars fotovoltaiques Man",
24/CIFOCS_ED/707/0189721/001,Assistència a la producció cinematogràfica i d'obres audiovisuals,Contacteu amb l'entitat,ISV,FO,410,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/IMSV0108.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,20/01/2025,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189721/001&codi_curso_seleccionado=24/CIFOCS_ED/707/0189721/001,,CIFO L'Hospitalet,8101,CT del Mig 24,41.359455,2.114514,932603120,cifo_hospitalet.soc@gencat.cat,https://serveiocupacio.gencat.cat/cifohospitalet,08907,12386,SOC,Contacteu amb l'entitat,
23/FOAP/680/0184571/001,"Habilitació per a la docència en graus A, B i C del Sistema de Formació Professional",Contacteu amb l'entitat,SCE,FO,340,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/SSCE0110.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,01/07/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0184571/001&codi_curso_seleccionado=23/FOAP/680/0184571/001,,"IDENTIDADES, VALORES Y ESTRATEGIAS ALTERNATIVAS PARA LOS EMPRESARIOS MARITIMOS PESQUEROS (IVEAEMPA)",8073,CR RUBIó I ORS 7,41.35573,2.06696,933231212,formacio@iveaempa.info,,08940,27699,SOC,Contacteu amb l'entitat,
24/CIFOCS_ED/707/0189722/002,Desenvolupament d'aplicacions amb tecnologia web,Contacteu amb l'entitat,ICD,FO,510,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/IFCD0210.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,13/12/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189722/002&codi_curso_seleccionado=24/CIFOCS_ED/707/0189722/002,,CIFO La Violeta,8019,PL Comte de Sert 25,41.41693,2.133001,932541700,cifo_violeta.soc@gencat.cat,https://serveiocupacio.gencat.cat/cifolavioleta,08035,12362,SOC,Contacteu amb l'entitat,
24/ATCC2/712/0188442/004,"Vigilància, seguretat privada i protecció de persones",Contacteu amb l'entitat,SMD,FO,290,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/SEAD0112.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,14/10/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0188442/004&codi_curso_seleccionado=24/ATCC2/712/0188442/004,,HEMIF CONSULTING SL,8019,CR ENTENZA 227,41.367435,2.130463,652677919,ADMINISTRACION@GROUPHM.ES,,08902,45871,SOC,Contacteu amb l'entitat,
24/FPOIES_23_24/714/0189555/001,Confecció i publicació de pàgines web,Contacteu amb l'entitat,ICD,FO,480,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/IFCD0110.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,13/01/2025,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189555/001&codi_curso_seleccionado=24/FPOIES_23_24/714/0189555/001,,INSTITUT SALVADOR SUNYER I AIMERIC,17155,CR MIQUEL MARTí I POL S/N,41.968258,2.782514,972234975,B7008407@XTEC.CAT,https://agora.xtec.cat/inssalvadorsunyer/,17190,46250,SOC,Contacteu amb l'entitat,
24/FPOIES_23_24/714/0189151/001,Muntatge i manteniment de sistemes d'automatització industrial,Contacteu amb l'entitat,EEM,FO,390,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/ELEM0311.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,13/12/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189151/001&codi_curso_seleccionado=24/FPOIES_23_24/714/0189151/001,,INSTITUT LLUIS DOMENECH I MONTANER,43123,CR MASPUJOLS 21-23,41.166775,1.099976,977312381,correu@iesdimreus.cat,,43206,3744,SOC,Contacteu amb l'entitat,
24/FPOIES_23_24/714/0188813/001,INSTAL·LACIÓ I MANTENIMENT DE JARDINS I ZONES VERDES.,"Executar i organitzar al seu nivell les operacions d'instal·lació, manteniment i millora de jardins d'interior, exterior i zones verdes, controlant la sanitat vegetal, manejant la maquinària i eines de jardineria i complint la normativa mediambienta",ARJ,FO,390,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/AGAO0208.pdf,"Treballador/a d'hortes, vivers i jardins, en general Treballador/a i conservador/a de parcs urbans, jardins històrics i botànics Jardiner/a, en general Jardiner/a cuidador/a de camps d'esport Treballador/a qualificat/ada en la instal·lació de jardins i zones verdes Treballador/a qualificat/ada de manteniment i millora de jardins i  zones verdes Treballador/a qualificat/ada per compte propi en empresa de jardineria",Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,04/11/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0188813/001&codi_curso_seleccionado=24/FPOIES_23_24/714/0188813/001,,INSTITUT LA TALAIA,43037,CR BRASIL 8,41.205654,1.594426,977159233,E3010372@XTEC.CAT,https://www.institutlatalaia.cat/,43882,45827,SOC,"Executar i organitzar al seu nivell les operacions d'instal·lació, manteniment i millora de jardins d'interior, exterior i zones verdes, controlant la sanitat vegetal, manejant la maquinària i eines de jardineria i complint la normativa mediambienta",
